id,p_Attr,c_Attr
1,景點與地標,景點和地標
2,景點與地標,古蹟
3,景點與地標,建築物
4,景點與地標,宗教聖地
5,景點與地標,景觀徒步區
6,景點與地標,史跡徒步區
7,景點與地標,農場
8,景點與地標,教育景點
9,景點與地標,瞭望台
10,景點與地標,橋樑
11,景點與地標,地區
12,景點與地標,觀景台和觀景塔
13,景點與地標,政府建築
14,景點與地標,古代遺址
15,景點與地標,燈塔
16,景點與地標,碼頭和木板人行道
17,景點與地標,紀念碑和雕像
18,景點與地標,教堂和大教堂
19,景點與地標,競技場和體育場館
20,景點與地標,大學與學校
21,景點與地標,神秘景點
22,景點與地標,農場
23,景點與地標,市政中心
24,景點與地標,自駕觀景遊
25,景點與地標,其他牧場和農場
26,景點與地標,噴泉
27,景點與地標,城堡
28,景點與地標,礦區
29,景點與地標,船舶
30,景點與地標,軍事基地和設施
31,自然與公園,公園
32,自然與公園,水域
33,自然與公園,登山步道
34,自然與公園,海灘
35,自然與公園,溫泉和間歇泉
36,自然與公園,山脈
37,自然與公園,單車專用道
38,自然與公園,花園
39,自然與公園,島嶼
40,自然與公園,森林
41,自然與公園,地質構造
42,自然與公園,自然和野生動物區
43,自然與公園,國家公園
44,自然與公園,瀑布
45,自然與公園,山谷
46,自然與公園,大洞穴和洞窟
47,自然與公園,動物園
48,自然與公園,水壩
49,自然與公園,遊樂場
50,自然與公園,其他自然景觀與公園
51,自然與公園,遊艇碼頭
52,自然與公園,水族館
53,自然與公園,珊瑚礁
54,自然與公園,州立公園
55,自然與公園,摩托車專用道
56,自然與公園,滑雪和滑雪板區
57,自然與公園,火山
58,博物館,特色博物館
59,博物館,歷史博物館
60,博物館,藝術博物館
61,博物館,美術館
62,博物館,軍事博物館
63,博物館,科學博物館
64,博物館,兒童博物館
65,博物館,自然歷史博物館
66,動物園和水族館,動物園
67,動物園和水族館,水族館
68,水上樂園和遊樂場,主題樂園
69,水上樂園和遊樂場,水上樂園
70,Spa,Spa
71,Spa,健康/健身俱樂部和健身中心
72,Spa,溫泉
73,Spa,瑜伽與皮拉提斯
74,夜生活,酒吧和夜店
75,夜生活,咖啡館
76,夜生活,品酒酒吧
77,夜生活,舞蹈俱樂部和迪斯可舞廳
78,夜生活,酒吧、夜店和酒館遊覽
79,休閒與娛樂,遊戲和娛樂中心
80,休閒與娛樂,遊樂場
81,休閒與娛樂,電影院
82,休閒與娛樂,繪畫和陶藝工作室
83,休閒與娛樂,角色體驗
84,休閒與娛樂,體育館
85,休閒與娛樂,其他休閒與娛樂
86,休閒與娛樂,農夫市場
87,休閒與娛樂,騎乘和活動
